tagNumber,name,type,sex,dateOfBirth,breedingMethod,sireTag,damTag,herdName,organic
2426,RWF Red around R-eye,beef,male,2024-04-24,,Everest,H04,main,true
2429,White w/ Brown tips,beef,male,2024-04-28,,Everest,1809,main,true
2443,White w/ Black tips,beef,male,2024-05-26,,Everest,1722,main,true
*Rita,JerseyXGalloway,dairy,female,2024-05-02,,Everest,Romina,main,true
2430,White w/ brown tips,beef,female,2024-05-02,,Everest,2111,main,true
2439,Black,beef,female,2024-05-17,,Everest,2125,main,true
2440,White w/ Brown tips,beef,female,2024-05-19,,Everest,2116,main,true
2344,Jersey HORNS - Twin,beef,male,2023-05-26,,Ivano,Osiria,finish,false
2350,Jersey - nursing on Silk & Quesa Could be at 2 Rivers,beef,male,2023-08-03,,Ivano,Rosa,finish,false
2352,Jersey,beef,male,2023-11-01,,Ivano,Hazelnut,finish,false
2342,White heart on head,beef,male,2023-04-30,,Ivano,Izzy,finish,false
2404,Brown/Black,beef,female,2024-04-05,,Everest,2005,finish,true
*Jules,"Jersey - Free-martin?, found a similar (male) calf in field next day.",dairy,male,2024-04-04,,Ivano,Josephina,finish,false
2431,Jersey,beef,male,2024-05-05,,Ivano,Belen,finish,false
*Jara,Jersey,dairy,female,2024-05-01,,Ivano?,Juno,finish,false
2445,Freemartin Jersey,beef,female,2024-06-19,,Ivano,Nutmeg,finish,false
2446,Jersey twin - nursing on Isela,beef,male,2024-06-19,,Ivano,Nutmeg,finish,false
2444,Jersey,beef,male,2024-05-27,,????,Hanalei,finish,false
*Ciara,Jersey,dairy,female,2024-06-01,,`Ivano,Catalan,finish,false
*Hope,White Heart on side,dairy,female,2024-06-06,,Ivano,Hibiscus,finish,false
*Maggie,Jersey - nursing Hibisus 2024,dairy,female,2024-06-09,,Ivano,Mirtha,finish,true
*Iris,Jersey,dairy,female,2024-07-06,,Hercules,Ivy,finish,false
2449,Jersey,beef,male,2024-08-03,,Ivano,Blue,finish,false
*Iona,Jersey light,dairy,female,2024-08-07,,Ivano,Imogen,finish,false
G41,RWF- 1/2 belty,beef,female,2011-09-11,,Galloway?,E17,main,true
H04,RWF,beef,female,2012-02-09,,,C51,main,true
1501,"Dun black points ""Lucy""",beef,female,2015-01-01,,Adam Stevens,Adam Stevens,main,true
1607,"Black-Calm ""poofed"" hair on poll, some white on udder",beef,female,2016-01-06,,Pericles,H21?,main,true
i99,"Black, torn R-ear,fiesty, Blue eye 11/2024",beef,female,2016-01-02,,??,??,main,true
1719,Galloway-white/ points Lavender,beef,female,2017-01-01,,Adam Stevens,Adam Stevens,main,true
1725,Red,beef,female,2017-03-01,,Tapatio,????,main,true
1809,Brown/Grey Stevens Galloway,beef,female,2017-06-01,,2105,2515,main,true
1814,Black,beef,female,2018-02-22,,1608or9,D05,main,true
1810,Black,beef,female,2018-02-18,,1608or9,E20,main,true
1809B,Brown-Grey WF,beef,female,2018-02-17,,1608or9,D12,main,true
1815,Brown-Grey-trble in squeeze,beef,female,2018-02-23,,1608or9,G25,main,true
1803,Black White on udder,beef,female,2018-02-11,,1608or9,D04,main,true
1816,RWF w/spots - 2025 calf born late may not settle for next breeding,beef,female,2018-02-23,,1608or9,H23,main,true
1813,BWF,beef,female,2018-02-21,,1608or9,H18,main,true
1912,BWF,beef,female,2019-02-20,,1608/1609,H12,main,true
1903,Grey,beef,female,2019-02-20,,1608/1609,G25,main,true
1909,Black,beef,female,2019-02-17,,1608/1609,H18,main,true
1905,Black NO TAG,beef,female,2019-02-14,,1608/1609,i21,main,true
1904,Black NO TAG,beef,female,2019-02-14,,1608/1609,D05,main,true
1921,BWF,beef,female,2019-03-12,,1608/1609,D04,main,true
1924,BWF,beef,female,2019-04-11,,1608/1609,H23,main,true
2025,Black,beef,female,2020-03-28,,1608/1609,E16,main,true
2015,NO TAG Black a lot of white on back 2 quarters of udder,beef,female,2020-03-22,,1608/1609,1607,main,true
2019,Black NO TAG,beef,female,2020-03-23,,1608/1609,H35,main,true
2125,Grey,beef,female,2021-02-04,,Everette,1701,main,true
2116,White w/tips,beef,female,2021-04-17,,Everett,1725,main,true
2111,White w/ brown ears,beef,female,2021-04-18,,Everett,1899,main,true
2109,White,beef,female,2021-04-16,,Everett,1719,main,true
2104,White w/black points,beef,female,2021-04-07,,Everette,1813,main,true
2220,"Red - No calf 2025, breed again",beef,female,2022-04-20,ai,Everette,1903,main,true
2222,Black,beef,female,2022-04-21,,Everette,1803,main,true
2212,Red,beef,female,2022-04-07,,Everett,1902,main,true
2214,White w/Brown TIps,beef,female,2022-04-11,,Everette,1899,main,true
2235,"Red - No calf 2025, breed again",beef,female,2022-05-08,ai,Everett,1607,main,true
2308,white w/Tips - REPLACEMENT breed in 2024,beef,female,2023-04-08,,Everette/Everest,1607,main,true
2310,White w/ Tips - REPLACEMENT breed in 2025,beef,female,2023-04-11,,Everette/Everest,1903,main,true
2333,White w/ RedTips - REPLACEMENT breed in 2025,beef,female,2023-05-05,,Everette/Everest,2005,main,true
2339,White w/ Tips - REPLACEMENT breed in 2025,beef,female,2023-05-10,,Everette/Everest,G41,main,true
2334,White w/tips - REPLACEMENT breed in 2025,beef,female,2023-05-05,,Everette/Everest,i99,main,true
2331,Brown Grey - REPLACEMENT breed in 2025,beef,female,2023-05-01,,Everette/Everest,1722,main,true
2332,Black - REPLACEMENT breed in 2026,beef,female,2023-05-05,,Everette/Everest,2006,main,true
2504,White w/ Red Tips,beef,female,2025-04-08,,2105,2212,main,true
2505,White w/ Brown Tips,beef,male,2025-04-09,,2105,1924,main,true
2506,White w/ Brown tips,beef,female,2025-04-09,,2106,2111,main,true
2507,Red,beef,male,2025-04-10,,2105,2015,main,true
2508,Red,beef,female,2025-04-10,,2105,1607,main,true
